label,text
1,崩溃了。
7,文革之后还能保留这个习俗也算异数了。
0,接下来雕刻消磨余下的一点时间，今回北京行，和几个朋友都不约而同地聚在了首都，那心情可是鸡冻的，希望大家新的一年都身体健康，顺顺利利的！
7,其实更好。
7,我们一贯支持原创。
7,=___=@Xeraphina柒希
7,人在跳板上，最辛苦的不是跳下来那一刻，而是跳下来前心里的挣扎无助和患得患失。
7,心情，放开一点，对情绪有好处。
0,这里的宝贝很不错，大家可以去看看！
7,人们开始提名自己的候选人……
7,老师笑着说：“我讲的内容比较难理解，大家回去要好好消化消化。”
7,中官人约我一见，递出名片，上有「张烈」二字。
7,不违反任何规定的。
7,【音乐·首播】Coldplay联合Rihanna热单《Princess of China》首播，相信大家对RiRi个人版中千手观音的造型依然记忆犹新，而这版MV中酷玩也有演绎，与RiRi上演大内武打追逐戏，而MV中从龙椅到雕梁也都一一展现，对这首歌期待已久的童鞋们快看看吧！[加油啊]首发自：
7,烦转知。
4,ZT自豆瓣----京东你真的伤不起啊！！
0,回复@月光影866:我刚刚查了下，这丰胸产品口碑还不错，销量大，价格合理[good]
7,都说了你们不懂，落地转体+小跳，有一连串的技术衔接分好么
7,给我现钱可以不TAT
7,"""我的眼泪会坠落,绝不是因为懦弱,而是感谢天让我遇见你,不然今天就不能 如此地有勇气.""——#薛凯琪#《Better Me》[视频]"
0,宝宝今天又靠大家的努力闯过了一关，宝宝是幸运的有这么多人关注她，愿天下所有白血病的宝宝都能健康的好起来
7,十种健康生活方式：少食肉，晒太阳，雨中行，常唱歌，饭后息，挺起胸，静坐思，天伦乐，步当车，行善事。
7,离婚率高？
0,周诒春，字寄梅，清华大学初期的奠基人，最年轻的校长——如果可以，请你记住这个名字。
4,很好玩么？！
0,晓龙威武！
3,喝了姜水，抱着暖水袋，终于缓过来些了[晕]
7,卡耐基
7,太阳挺大所以冷都不怎么觉得～
7,想去哪里去哪里、
7,惠特尼休斯顿归来。
5,惊吓不小……
7,//@苏宁易购李斌 你呢，能应战到底吗？
4,难道我这次进货带的银子也只够收一两件东西的，MD没天理啦。
7,再往后听，两个女孩是平安大街上一家餐馆的服务员。
7,@顾群业 兄弟帮忙转发，谢了
7,时间，这样过去，甚好。
7,黔之驴，只听得胡编驴叫···
1,分量少！
7,劳动和社会保障部，要尽快制定切实有效的办法。
7,你的童年是不是也有一些在别人看来不是女孩子可以有的梦想，你是否像书中的凯莉一样坚持到了最后呢？
1,人情事情混为一谈的人，做不了大事情！
7,第3名：射手座；
7,粉丝活跃度：统计数据从10.15-10.21日，日均活跃度98，其中10月18日活跃度创新高，达143，10月16日最低，只有18。
7,//@赵筱筱：河内讯：据可靠小道消息，越军参谋部经过深入研究，已经解决了中国网民提出的从南宁到北京的高速公路收费高的问题--挂军牌。
7,我记得大约15年前，台湾的高考作文题是《生活中的苦涩与甘美》。
7,对于新建的团队，要求人员的稳定性较高，才有利于扩大发展；但对于成熟的团队，适当的流动会带来更多好处，让团队不会太过老化，让同事有适当的压力，而且还能引进新的资源，让团队的业务范围能做大做强，水不流则河水变潭水，人不动则活人变死人，还是保持动一动，身体和团队都会健康点。
1,这年头，无论是做菜的还是做爱的，放心的肉是越来越少了；无论是婴儿喝的还是成人摸的，放心的奶是越来越少了；无论是家禽下的还是男人挂的，放心的蛋是越来越少了；无论是饲养的还是应招的，放心的鸡是越来越少了。。。
7,视频：NBC热门真人秀《全美达人/美国达人》（America's Got Talent）第七季首播第2集字幕版：[视频] 本季新引进了美国电台名嘴霍华德-斯特恩(Howard Stern)替代了原来的皮尔斯-摩根做评委。
1,念得我各种烦躁……
0,其规模之壮观，不仅超过了当时林立的酒楼和米店，也大大超过了现在无处不在的银行和房产中介。
1,杨梅本来就不该这么大这么甜，一定会有问题，请购买者慎重！
3,朱老本意来做东，客到现在不显身。
7,满屋子蓝莓味！
7,上海比想象中还要冷，所幸的是，登机前我准备了羽绒服放在袋子里，，以备万一！
7,总是在冬季，我们的年轮才更换着；总是在深夜，我们的岁月才交替着；总是有梦想，我们的青春才长生着。
7,以后都要这样下去.
7,（更多创意尽在 @创意生活王）
7,每一次分别，都让人感受到生命的无凭，仿佛一切都未曾身经。
0,太令人羨慕了
0,太可爱了，放松下心情，温馨甜蜜又治愈轻松的短片送给大家！！！[视频]
7,//@姜多啦: 转发微博
7,在豪爽、幽默的伪装下，李某获得了晓晓的好感。
7,"释讲出世,佛性即一。"
7,速度的买张站票就回家了！
7,日本第二次FAN MEETING 120808 前记 首先说一下大致的概况。
7,以前我们又做过一段时间的动物新闻剪报，但是后来搬出来住，又没订报纸，就中断了。
7,疼老婆是每个男人最基本的义务！@倩倩love宝宝
